"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"43" 0.212072972683494 -0.00862432813193949 8.84763446508238 32.0886778608896 1.7159772514596e-08 1.81795469611834e-05 "ILMN_1683215" "ZBED3"
"44" 0.372141560832821 -0.03515307446947 10.7310638176944 32.0883352969887 1.71617803101554e-08 1.81795469611834e-05 "ILMN_1696704" "TLE4"
"46" -0.305770822523154 0.0261814595563292 8.15874951463562 31.9769390706319 1.78280798593862e-08 1.82264986875481e-05 "ILMN_1815114" "MIRLET7BHG"
"47" -0.229918406347081 0.0198585596184169 7.24156065146219 31.8637471350794 1.85332818921716e-08 1.84458824875632e-05 "ILMN_1731529" "MS4A12"
"48" -0.20817021046502 0.0140026437432165 8.65510160049888 31.7789906059689 1.90806628473771e-08 1.84458824875632e-05 "ILMN_1716803" "RALYL"
"50" 0.392799522643327 -0.0331179001532237 7.81704171559541 31.548601188197 2.06570041024252e-08 1.91831993873369e-05 "ILMN_1748907" "UBQLNL"
"53" -0.332560253326346 0.0267289307464839 7.01492435019236 31.2334911176525 2.30401888736221e-08 2.01581233962498e-05 "ILMN_1772369" "PDHA1"
"54" -0.108881620758975 0.0293352749787834 11.015272662499 31.2202372492182 2.31466076251911e-08 2.01581233962498e-05 "ILMN_1748109" "PEX1"
"56" -0.210377583653701 0.0175429510483419 7.87936921482833 30.8920135743264 2.5955311210375e-08 2.16827755145575e-05 "ILMN_1690971" "SSX3"
"58" -0.245482145643229 0.0219209378471726 7.14039352835213 30.7853163754583 2.69444352888992e-08 2.16827755145575e-05 "ILMN_1755658" "ABI3"
"59" -0.219557217834181 0.0189840946445127 7.29097706305312 30.7581511019882 2.72025975027407e-08 2.16827755145575e-05 "ILMN_2084059" "SLC12A4"
"60" -0.278054976591128 0.0385408698834865 6.80570979315672 30.6949765011447 2.78131640434903e-08 2.17999579772877e-05 "ILMN_2365196" "PDCD10"
"61" -0.11861666265516 0.0055951472959806 8.79183703692246 30.5583574600471 2.9183784986202e-08 2.24756668446233e-05 "ILMN_1742427" "POLR1D"
"62" -0.318053027139516 0.0242520006971678 8.76755799718075 30.5152383662715 2.9631099437923e-08 2.24756668446233e-05 "ILMN_1672479" "TRIM55"
"63" 0.5737910652462 -0.0552740880517513 8.28082366039163 30.4000060629265 3.08625531193681e-08 2.27722560344144e-05 "ILMN_1788109" "IL17C"
"65" -0.164494420747072 0.0123421041268555 7.12679954795771 30.2159544874955 3.29433153622648e-08 2.38347420747168e-05 "ILMN_1804988" "MOAP1"
