"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"34" -0.0939496955882828 0.0180402543453836 6.92761712647226 19.6318126583439 3.4560549212966e-06 0.00478033384819813 "ILMN_3236736" "ZFP92"
"35" 1.38478993525444 -0.112360605045467 11.8145471447771 19.5452309954366 3.58875266137885e-06 0.00482205314740928 "ILMN_1750661" "FBXW9"
"36" -0.123355785658697 0.0190210876763634 6.7447859037531 19.4484161339422 3.74359519567139e-06 0.00489038319061205 "ILMN_2114185" "RUSC1-AS1"
"39" 0.763009788923726 -0.0587574088979902 12.2257911625904 18.738629087663 5.12126543230677e-06 0.00612718130819107 "ILMN_3241218" "ANKIB1"
"40" 0.586676422142603 -0.0450140295010293 10.0937535458251 18.5417923406124 5.59271858452274e-06 0.00612718130819107 "ILMN_1707925" "ABHD12B"
"41" -0.113903334866858 0.0410346558704067 7.97742630328402 18.5268909024532 5.63024698891951e-06 0.00612718130819107 "ILMN_2283185" "PALM"
"42" -0.567995625454024 0.0478556322843236 7.72889538740081 18.5119185098465 5.66822464308951e-06 0.00612718130819107 "ILMN_1671362" "UBE2J2"
"43" 0.313401636566512 -0.0224163841548443 7.76258292655385 18.4949490772336 5.71159829647788e-06 0.00612718130819107 "ILMN_2385298" "PFKFB2"
"45" 0.00559253255813566 0.00171530501274743 6.50099303382809 18.2909928480587 6.26151296588566e-06 0.00621647695180711 "ILMN_3235392" "GGT3P"
"46" 0.871069526105213 -0.0716132360038573 9.79471958315172 18.193139970416 6.54514548312764e-06 0.00621647695180711 "ILMN_2205322" "TREML4"
"47" 0.0486148442747564 0.0207717064935969 8.71806424381254 18.166987514713 6.623248189219e-06 0.00621647695180711 "ILMN_1781086" "HSFX2"
"50" -0.10596685055444 0.0182476037425825 6.83636190977226 18.0628494136254 6.94424871455287e-06 0.00621647695180711 "ILMN_1814256" "C17orf98"
"51" -0.289364528085297 0.0570792382833995 8.44470739803871 18.0477216667737 6.99224235127364e-06 0.00621647695180711 "ILMN_2264916" "EDNRB"
"52" -0.0661482050227895 0.0177583271666393 9.96173913676069 18.0460775805975 6.99747957597926e-06 0.00621647695180711 "ILMN_1743476" "LOC729609"
"53" 0.658900765358742 -0.0568434571175374 8.68086103358017 18.0380153886084 7.02322224538601e-06 0.00621647695180711 "ILMN_1728572" "DOK5"
"54" -0.0720133144155571 0.017469713454356 7.2650249975617 18.0024228028861 7.13808274639754e-06 0.00621647695180711 "ILMN_1742288" "ZNF620"
"55" 0.51809164077646 -0.042832898503966 9.21022559679734 17.8504697987641 7.65146331687271e-06 0.00654241848847072 "ILMN_2196347" "CDKN1B"
"56" -0.236168666893493 0.0522088101959462 7.51665362262679 17.651261914148 8.38492247093989e-06 0.00704153810648859 "ILMN_1702055" "ROPN1B"
"57" -0.194949520114637 0.0191228862596173 7.20073469671689 17.5690175495495 8.70928663415708e-06 0.00708447578972987 "ILMN_1731670" "LPA"
"58" 0.0260272383048588 0.00447744969146327 8.88309204006173 17.5483940939666 8.79270445437075e-06 0.00708447578972987 "ILMN_1744830" "ARHGAP11A"
"59" 0.398004033000669 -0.0290806485593957 8.25309409171249 17.4908664976691 9.02992691640629e-06 0.00708447578972987 "ILMN_1712678" "RPS27L"
"60" 0.319728847860591 -0.0189206248418364 8.86138373216868 17.4887874410385 9.03862693254641e-06 0.00708447578972987 "ILMN_3308773" "MIR1249"
"64" 0.384981341092727 -0.0277764030866433 13.2831926063176 16.8344916029622 1.22762402723e-05 0.00892013395545086 "ILMN_1737205" "MCM4"
"65" -0.0192530256476239 0.00758316427927031 6.80844715734774 16.7729655780151 1.26388710340024e-05 0.00892013395545086 "ILMN_1768482" "CD8A"
"66" 1.01221036626408 -0.0905138922652669 9.58553449311996 16.757247868802 1.27333304159413e-05 0.00892013395545086 "ILMN_1664861" "ID1"
"67" -0.114223109670199 0.0223241813560472 7.38925707296119 16.7563333965674 1.27388492801777e-05 0.00892013395545086 "ILMN_1669033" "NCOA1"
"68" 0.958128855577668 -0.0759174616576445 11.015765584345 16.7188902773892 1.29670241024327e-05 0.00892013395545086 "ILMN_2397571" "PIGC"
"70" -0.373422858180963 0.0303841329057068 6.91572515516806 16.6583090633569 1.33454791329207e-05 0.00892013395545086 "ILMN_1788738" "ZNRF3"
"71" 0.257971956457794 -0.0214418313465135 13.5389332870328 16.639233032057 1.34670730381265e-05 0.00892013395545086 "ILMN_1680727" "GLRX2"
"72" 0.333018945814384 -0.0295487134648409 7.70732393157323 16.5760605208987 1.38782514298666e-05 0.00903540651806077 "ILMN_1735463" "EXD3"
"73" -0.100679380449695 0.00855574309386813 6.41510117436437 16.5359325674063 1.41463740807468e-05 0.00903540651806077 "ILMN_1715713" "NFASC"
