"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"48" -0.0224006985339665 0.0132753383428576 10.14680928173 27.0808807727554 9.78291462737568e-08 9.32188038113066e-05 "ILMN_1743476" "LOC729609"
"50" -0.368926133947809 0.055671386538341 7.50277795581272 27.0469585171616 9.91098960314138e-08 9.32188038113066e-05 "ILMN_3310578" "MIR548Q"
"51" -0.00658896694486016 0.00438649218317584 7.02834810521416 26.9722145996192 1.0199499387535e-07 9.40513837641167e-05 "ILMN_1722091" "TP53TG5"
"53" 0.118623818282173 -0.0034377562463348 7.95499238608976 26.7205634179888 1.12380977006805e-07 9.97179733335102e-05 "ILMN_1712678" "RPS27L"
"54" -0.131868547372192 0.00795902952569962 8.17651184978798 26.5315149992215 1.20917881763628e-07 0.000105306039695924 "ILMN_1659215" "CYP4B1"
"55" -0.454428508060184 0.0797682152535234 7.93435545107643 26.368507312162 1.28830810228226e-07 0.000110157369880237 "ILMN_1672559" "ADGRF1"
"57" -0.145631652573249 0.00893231970675199 7.82063326921795 25.9753038568483 1.50263989798861e-07 0.000123975700215103 "ILMN_2279377" "SLC29A1"
"58" -0.134570678286156 0.0295894762911846 10.933001452485 25.6379418240994 1.71668086233225e-07 0.000135709244995422 "ILMN_1748109" "PEX1"
"59" -0.0524857656299264 0.0120329630779031 7.24019698900427 25.58372663543 1.75398797909845e-07 0.000135709244995422 "ILMN_1794150" "HNRNPC"
"60" -0.258634085755443 0.0286895669118452 7.24931664876537 25.5603867744831 1.77031245641853e-07 0.000135709244995422 "ILMN_1698739" "UNC45B"
"62" -0.0965009585921035 0.0170049223286729 6.72889337640786 25.5337479781181 1.78914119029433e-07 0.000135709244995422 "ILMN_1670518" "WDFY3"
"63" -0.779036414510077 0.0619759139249906 7.04598650504492 25.4704191139361 1.83475996829425e-07 0.000136960463157051 "ILMN_1766657" "STOM"
"65" -0.0176534269090406 0.0119799893473407 10.8984547933223 25.2522082380575 2.00162305891327e-07 0.000144818968022421 "ILMN_2066151" "TEK"
"66" -0.172528169778501 0.0111505044806712 8.26383287113564 25.1114134093467 2.11776563574086e-07 0.000150900427753972 "ILMN_1702385" "LILRA4"
